School,Conf,Coach, NCAAFBREV16 ,MedianConfSal, SchoolPay , TotalPay , Bonus , BonusPaid , PayPlusBonus2016 , StadSize , Graduation Rate (GSR) , Seat Rank , GSRank , Combo Rank , TrueRank ,W,L, Ratio ,OffenceScore,Defense Score,Score,PointsPerGame
Northwestern,Big Ten,Pat Fitzgerald,,3775000,3619775,3619775,,,3619775,47130,84,62,101,85,30,7,6,1.166666667,0.48,4.98,5.46,75.16
Notre Dame,Ind.,Brian Kelly,,716261,2129638,2129638,,,2129638,80795,99,113,127,102,14,4,8,0.5,5.46,-1.19,4.27,81.03
Ohio,MAC,Frank Solich,32234688,492413,580331,580331,333833,60772,641103,24000,99,10,127,53,81,8,6,1.333333333,-3.34,1.35,-1.99,68.13
Ohio State,Big Ten,Urban Meyer,185409602,3775000,7600000,7600000,775000,350000,7950000,104944,99,128,127,126,1,11,2,5.5,3.69,15.13,18.82,88.76
Oklahoma,Big 12,Lincoln Riley,155238481,3775000,4800000,4800000,700000,180000,4980000,82112,74,115,60,95,19,11,2,5.5,14.64,0.34,14.98,92.54
Oklahoma State,Big 12,Mike Gundy,91644865,3775000,5000000,5000000,900000,62500,5062500,60218,74,83,60,86,29,10,3,3.333333333,8.39,2.77,11.16,85.39
Oregon,Pac-12,Mario Cristobal,145417315,2752233,2500000,2500000,1825000,,2500000,54000,70,77,34,61,73,4,8,0.5,11.12,-10.42,0.7,84.15
Oregon State,Pac-12,Jonathan Smith,78959875,2752233,1900008,1900008,1275000,,1900008,45674,70,59,34,52,82,4,8,0.5,0.5,1.02,1.53,74.16
Penn State,Big Ten,James Franklin,144017055,3775000,4800000,4800000,1000000,300000,5100000,106572,69,129,33,93,21,11,3,3.666666667,11.63,4.09,15.72,87.46
Pittsburgh,ACC,Pat Narduzzi,,2458033,3017718,3017718,,,3017718,68400,84,100,101,95,20,,,,,,,
Purdue,Big Ten,Jeff Brohm,84841133,3775000,3800000,3800000,1290000,180000,3980000,56400,96,80,124,101,15,3,9,0.333333333,0.2,-9.16,-8.96,73.85
Rutgers,Big Ten,Chris Ash,96883027,3775000,2200000,2200000,960000,50000,2250000,52454,78,74,79,74,48,2,10,0.2,-9.42,2.45,-6.97,66.15
San Diego State,Mt. West,Rocky Long,52454787,879288,872576,873576,720000,95000,968576,70561,94,104,123,90,25,11,3,3.666666667,-0.89,6.86,5.97,76.05
San Jose State,Mt. West,Brent Brennan,31252553,879288,590424,590424,210000,,590424,30456,76,30,70,39,101,4,8,0.5,-4.71,-5.31,-10.03,68.2
South Alabama,Sun Belt,Steve Campbell,30693877,675000,600000,600000,295000,,600000,33500,40,39,3,20,122,6,7,0.857142857,-2.84,-2.96,-5.8,68.61
South Carolina,SEC,Will Muschamp,136032845,3929800,4200000,4200000,1400000,100000,4300000,80250,40,111,3,73,50,6,7,0.857142857,-5.88,4.97,-0.91,68.17
South Florida,AAC,Charlie Strong,49960338,2458033,1000000,1000000,815000,70000,1070000,65890,70,97,34,59,74,11,2,5.5,14,-6.16,7.83,90.21
Southern California,Pac-12,Clay Helton,113000000,2752233,2625965,2625965,,,2625965,93607,63,122,15,71,53,,,,,,,
Southern Methodist,AAC,Sonny Dykes,,2458033,,,,,,32000,75,36,67,35,107,,,,,,,
Stanford,Pac-12,David Shaw,112000000,2752233,4311543,4311543,,,4311543,50000,67,64,22,64,68,10,3,3.333333333,0.01,12.54,12.54,73.09
Syracuse,ACC,Dino Babers,,2458033,2401206,2401206,,,2401206,49250,80,63,87,73,49,4,8,0.5,0.08,-4.59,-4.51,75.51
Temple,AAC,Geoff Collins,,2458033,,,,,,68532,82,101,93,65,65,10,4,2.5,2,6.96,8.97,78.15
Tennessee,SEC,Jeremy Pruitt,145653191,3929800,,,1200000,,3846000,102455,83,126,97,107,10,9,4,2.25,11.58,-0.99,10.59,88.42
Texas,Big 12,Tom Herman,214830647,3775000,5500000,5500000,725000,75000,5575000,100119,77,123,75,105,11,5,7,0.714285714,3.16,-1.41,1.75,77.22
Texas A&M,SEC,Jimbo Fisher,211960034,3929800,7500000,7500000,1350000,,7500000,102733,77,127,75,108,7,8,5,1.6,5.4,3.37,8.77,84.98
Texas Christian,Big 12,Gary Patterson,,3775000,4840717,4840717,,,4840717,50000,68,64,28,67,57,6,7,0.857142857,1.88,0.74,2.63,77.84
Texas State,Sun Belt,Everett Withers,38445832,675000,700000,700000,70833,,700000,30000,53,20,8,18,125,2,10,0.2,-9.6,-9.26,-18.86,63
Texas Tech,Big 12,Kliff Kingsbury,88804476,3775000,3703975,3703975,1500000,25000,3728975,60862,70,86,34,72,51,5,7,0.714285714,12.46,-11.12,1.34,90.62
Toledo,MAC,Jason Candle,32925921,492413,1125000,1125000,585000,210000,1335000,26248,71,16,40,35,106,9,4,2.25,7.2,-2.26,4.94,82.66
Troy,Sun Belt,Neal Brown,29962107,675000,810000,810000,490000,100000,910000,30000,67,20,22,27,115,10,3,3.333333333,1.63,2.48,4.1,77.3
Tulane,AAC,Willie Fritz,,2458033,1629000,1629000,,,1629000,30000,68,20,28,34,108,4,8,0.5,-5.62,-0.92,-6.54,70.55
Tulsa,AAC,Philip Montgomery,,2458033,1518177,1518177,,,1518177,35542,84,43,101,65,65,10,3,3.333333333,11.07,-4.16,6.91,88.48
UCLA,Pac-12,Chip Kelly,104106646,2752233,3300000,3300000,1085000,,3300000,92542,79,120,84,97,17,4,8,0.5,-0.86,3.49,2.63,71.93
Utah,Pac-12,Kyle Whittingham,83672639,2752233,3787917,3787917,935000,279167,4067084,45017,78,56,79,79,43,9,4,2.25,3.31,5.35,8.65,75.34
