School,Conf,Coach,NCAAFBREV16 ,MedianConfSal,SchoolPay,TotalPay,BonusMax,PayPlusBonus,StadSize, Graduation Rate (GSR) , Seat Rank , GSRank , Combo Rank , TrueRank ,W,L, Ratio ,OffenceScore,Defense Score,Score,PointsPerGame
New Mexico,Mt. West,Bob Davie,44421019,879288,422.5423729,423.0816641,174.6276323,423.0816641,39224,71,49,40,40,99,9,4,2.25,5.26,-6.47,-1.21,77.47
New Mexico State,Ind.,Doug Martin,26114479,716261,215.5315871,215.5315871,112.9943503,225.8038007,30343,71,28,40,24,118,3,9,0.333333333,-4.52,-8.36,-12.88,68.52
North Carolina,ACC,Larry Fedora,96551626,2458033,1322.547509,1322.547509,462.2496148,1348.228043,62980,59,93,14,61,72,8,5,1.6,6.18,2.07,8.25,82.25
North Carolina State,ACC,Dave Doeren,83741572,2458033,1540.832049,1540.832049,693.3744222,1682.074987,57583,66,81,20,62,71,7,6,1.166666667,0.69,6.81,7.49,76.44
Northern Illinois,MAC,Rod Carey,25795597,492413,325.3518233,325.3518233,105.29019,347.1802773,10000,71,2,40,22,121,5,7,0.714285714,-0.94,-3.45,-4.39,73.18
Northwestern,Big Ten,Pat Fitzgerald,,3775000,1859.15511,1859.15511,0,1859.15511,47130,84,62,101,85,30,7,6,1.166666667,0.48,4.98,5.46,75.16
Notre Dame,Ind.,Brian Kelly,,716261,1093.804828,1093.804828,0,1093.804828,80795,99,113,127,102,14,4,8,0.5,5.46,-1.19,4.27,81.03
Ohio,MAC,Frank Solich,32234688,492413,298.0642013,298.0642013,171.4601952,329.2773498,24000,99,10,127,53,81,8,6,1.333333333,-3.34,1.35,-1.99,68.13
Ohio State,Big Ten,Urban Meyer,185409602,3775000,3903.441192,3903.441192,398.0482794,4083.204931,104944,99,128,127,126,1,11,2,5.5,3.69,15.13,18.82,88.76
Oklahoma,Big 12,Lincoln Riley,155238481,3775000,2465.331279,2465.331279,359.5274782,2557.781202,82112,74,115,60,95,19,11,2,5.5,14.64,0.34,14.98,92.54
Oklahoma State,Big 12,Mike Gundy,91644865,3775000,2568.053416,2568.053416,462.2496148,2600.154083,60218,74,83,60,86,29,10,3,3.333333333,8.39,2.77,11.16,85.39
Oregon,Pac-12,Mario Cristobal,145417315,2752233,1284.026708,1284.026708,937.3394967,1284.026708,54000,70,77,34,61,73,4,8,0.5,11.12,-10.42,0.7,84.15
Oregon State,Pac-12,Jonathan Smith,78959875,2752233,975.8644068,975.8644068,654.853621,975.8644068,45674,70,59,34,52,82,4,8,0.5,0.5,1.02,1.53,74.16
Penn State,Big Ten,James Franklin,144017055,3775000,2465.331279,2465.331279,513.6106831,2619.414484,106572,69,129,33,93,21,11,3,3.666666667,11.63,4.09,15.72,87.46
Pittsburgh,ACC,Pat Narduzzi,,2458033,1549.932203,1549.932203,0,1549.932203,68400,84,100,101,95,20,,,,,,,
Purdue,Big Ten,Jeff Brohm,84841133,3775000,1951.720596,1951.720596,662.5577812,2044.170519,56400,96,80,124,101,15,3,9,0.333333333,0.2,-9.16,-8.96,73.85
Rutgers,Big Ten,Chris Ash,96883027,3775000,1129.943503,1129.943503,493.0662558,1155.624037,52454,78,74,79,74,48,2,10,0.2,-9.42,2.45,-6.97,66.15
San Diego State,Mt. West,Rocky Long,52454787,879288,448.1643554,448.6779661,369.7996918,497.470981,70561,94,104,123,90,25,11,3,3.666666667,-0.89,6.86,5.97,76.05
San Jose State,Mt. West,Brent Brennan,31252553,879288,303.248074,303.248074,107.8582435,303.248074,30456,76,30,70,39,101,4,8,0.5,-4.71,-5.31,-10.03,68.2
South Alabama,Sun Belt,Steve Campbell,30693877,675000,308.1664099,308.1664099,151.5151515,308.1664099,33500,40,39,3,20,122,6,7,0.857142857,-2.84,-2.96,-5.8,68.61
